Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
10,9536,6,"[[10, 108, 9536], 1.0105, 50, 3, 'Success']","[[10, 108, 9536], 1.0105, 50, 3, 'Success']","[[10, 108, 9536], 1.0105, 50, 3, 'Success']","[[10, 108, 9536], 1.0105, 50, 3, 'Success']","[[10, 108, 9536], 1.0105, 50, 3, 'Success']","[[10, 645, 108, 9536], 1.00034, 100, 4, 'Success']"
18,683,88,"[[18, 1782, 686, 683], 1.00273, 120, 4, 'Success']","[[18, 1782, 686, 683], 1.00273, 120, 4, 'Success']","[[18, 288, 32, 686, 683], 2.0537799999999997, 264, 5, 'Success']","[[18, 1782, 686, 683], 1.00273, 120, 4, 'Success']","[[18, 1782, 686, 683], 1.00273, 120, 4, 'Success']","[[18, 1782, 686, 683], 1.00273, 120, 4, 'Success']"
4792,11177,385,"[[4792, 18, 11177], 1.0050199999999998, 80, 3, 'Success']","[[4792, 18, 11177], 1.0050199999999998, 80, 3, 'Success']","[[4792, 4289, 48, 11177], 0.07647000000000001, 114, 4, 'Success']","[[4792, 18, 11177], 1.0050199999999998, 80, 3, 'Success']","[[4792, 18, 11177], 1.0050199999999998, 80, 3, 'Success']","[[4792, 167, 6722, 48, 11177], 0.03889, 160, 5, 'Success']"
4792,11668,7815,"[[4792, 18, 11668], 1.1016000000000001, 80, 3, 'Success']","[[4792, 18, 11668], 1.1016000000000001, 80, 3, 'Failure']","[[4792, 18, 11668], 1.1016000000000001, 80, 3, 'Failure']","[[4792, 18, 11668], 1.1016000000000001, 80, 3, 'Failure']","[[4792, 18, 11668], 1.1016000000000001, 80, 3, 'Failure']","[[4792, 167, 6722, 48, 11668], 0.78932, 160, 5, 'Success']"
32,11177,56676,"[[32, 18, 11177], 30.33853, 184, 3, 'Failure']","[[32, 18, 11177], 30.33853, 184, 3, 'Failure']","[[32, 18, 11177], 30.33853, 184, 3, 'Failure']","[[32, 18, 11177], 30.33853, 184, 3, 'Failure']","[[32, 18, 11177], 30.33853, 184, 3, 'Failure']","[[32, 18, 11177], 30.33853, 184, 3, 'Failure']"
12445,6766,566777,"[[12445, 1067, 6766], 567.34434, 186, 3, 'Failure']","[[12445, 1067, 6766], 567.34434, 186, 3, 'Failure']","[[12445, 1067, 233, 600, 2654, 7988, 3995, 11483, 6766], 10.23462, 316, 9, 'Failure']","[[12445, 1067, 6766], 567.34434, 186, 3, 'Failure']","[[12445, 1067, 6766], 567.34434, 186, 3, 'Failure']","[[12445, 1067, 6766], 567.34434, 186, 3, 'Failure']"
6980,12612,2341806,"[[6980, 7187, 12612], 120.43227999999999, 80, 3, 'Failure']","[[6980, 7187, 12612], 120.43227999999999, 80, 3, 'Failure']","[[6980, 11748, 21, 6461, 12612], 10.02543, 160, 5, 'Failure']","[[6980, 7187, 12612], 120.43227999999999, 80, 3, 'Failure']","[[6980, 7187, 12612], 120.43227999999999, 80, 3, 'Failure']","[[6980, 7187, 12612], 120.43227999999999, 80, 3, 'Failure']"
167,773,9,"[[167, 2706, 609, 773], 0.00091, 110, 4, 'Success']","[[167, 11578, 609, 773], 0.00092, 100, 4, 'Success']","[[167, 4682, 609, 773], 0.00105, 104, 4, 'Success']","[[167, 5965, 609, 773], 0.00091, 110, 4, 'Success']","[[167, 5965, 609, 773], 0.00091, 110, 4, 'Success']","[[167, 5965, 609, 773], 0.00091, 110, 4, 'Success']"
612,11254,40,"[[612, 12325, 463, 11254], 1.02004, 114, 4, 'Success']","[[612, 11578, 463, 11254], 1.02008, 110, 4, 'Success']","[[612, 12325, 463, 11254], 1.02004, 114, 4, 'Success']","[[612, 10113, 463, 11254], 1.02004, 120, 4, 'Success']","[[612, 10113, 463, 11254], 1.02004, 120, 4, 'Success']","[[612, 10113, 463, 11254], 1.02004, 120, 4, 'Success']"
12325,887,899,"[[12325, 855, 1585, 887], 0.40459, 114, 4, 'Success']","[[12325, 855, 1585, 887], 0.40459, 114, 4, 'Success']","[[12325, 5454, 314, 1585, 887], 0.27541, 258, 5, 'Success']","[[12325, 855, 1585, 887], 0.40459, 114, 4, 'Success']","[[12325, 855, 1585, 887], 0.40459, 114, 4, 'Success']","[[12325, 167, 11654, 308, 11837, 314, 1585, 887], 0.22765000000000002, 324, 8, 'Success']"
855,2434,1943,"[[855, 6876, 167, 2434], 0.013600000000000001, 120, 4, 'Success']","[[855, 8260, 167, 2434], 0.02137, 120, 4, 'Success']","[[855, 8411, 83, 2434], 0.40032, 108, 4, 'Success']","[[855, 8260, 167, 2434], 0.02137, 120, 4, 'Success']","[[855, 8260, 167, 2434], 0.02137, 120, 4, 'Success']","[[855, 6876, 167, 2434], 0.013600000000000001, 120, 4, 'Success']"
383,1007,95480,"[[383, 18, 1007], 4.91472, 80, 3, 'Failure']","[[383, 18, 1007], 4.91472, 80, 3, 'Failure']","[[383, 18, 1007], 4.91472, 80, 3, 'Failure']","[[383, 172, 1007], 73.10131, 80, 3, 'Success']","[[383, 172, 1007], 73.10131, 80, 3, 'Success']","[[383, 131, 64, 177, 173, 172, 1007], 10.31568, 174, 7, 'Failure']"
10,2952,651892,"[[10, 704, 609, 2952], 68.49312, 120, 4, 'Failure']","[[10, 704, 609, 2952], 68.49312, 120, 4, 'Failure']","[[10, 704, 609, 2957, 2952], 4.60756, 160, 5, 'Failure']","[[10, 645, 600, 2952], 1960.59909, 120, 4, 'Failure']","[[10, 645, 600, 2952], 1960.59909, 120, 4, 'Failure']","[[10, 645, 600, 2952], 1960.59909, 120, 4, 'Failure']"
48,4292,7466959,"[[48, 8688, 609, 4292], 754.16361, 120, 4, 'Failure']","[[48, 11578, 609, 4292], 761.6313200000001, 110, 4, 'Failure']","[[48, 8688, 609, 4292], 754.16361, 120, 4, 'Failure']","[[48, 858, 609, 4292], 761.6313200000001, 120, 4, 'Failure']","[[48, 858, 609, 4292], 761.6313200000001, 120, 4, 'Failure']","[[48, 858, 609, 4292], 761.6313200000001, 120, 4, 'Failure']"
6274,6308,7,"[[6274, 36, 1139, 6308], 0.04206, 256, 4, 'Success']","[[6274, 36, 1139, 6308], 0.04206, 256, 4, 'Success']","[[6274, 2, 194, 1139, 6308], 0.04277, 242, 5, 'Success']","[[6274, 36, 1139, 6308], 0.04206, 256, 4, 'Success']","[[6274, 36, 1139, 6308], 0.04206, 256, 4, 'Success']","[[6274, 3642, 167, 4312, 994, 6308], 0.02108, 294, 6, 'Success']"
1236,11807,30,"[[1236, 694, 855, 11807], 0.09665, 120, 4, 'Success']","[[1236, 694, 855, 11807], 0.09665, 120, 4, 'Success']","[[1236, 1104, 855, 11807], 0.09972, 114, 4, 'Success']","[[1236, 694, 855, 11807], 0.09665, 120, 4, 'Success']","[[1236, 694, 855, 11807], 0.09665, 120, 4, 'Success']","[[1236, 600, 6010, 855, 11807], 0.00609, 160, 5, 'Success']"
445,1461,337,"[[445, 175, 1461], 19.14864, 80, 3, 'Success']","[[445, 175, 1461], 19.14864, 80, 3, 'Success']","[[445, 9634, 5949, 1461], 1.03066, 114, 4, 'Success']","[[445, 11178, 5949, 1461], 1.00371, 120, 4, 'Success']","[[445, 11178, 5949, 1461], 1.00371, 120, 4, 'Success']","[[445, 6228, 12157, 3372, 5949, 1461], 1.00202, 200, 6, 'Success']"
21,2434,5648,"[[21, 463, 2434], 3.82965, 80, 3, 'Success']","[[21, 463, 2434], 3.82965, 80, 3, 'Failure']","[[21, 26, 12832, 83, 2434], 1.09801, 142, 5, 'Success']","[[21, 1577, 167, 2434], 1.03954, 120, 4, 'Success']","[[21, 1577, 167, 2434], 1.03954, 120, 4, 'Failure']","[[21, 12634, 6764, 3297, 9510, 167, 2434], 1.01695, 234, 7, 'Failure']"
