Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
2877,9551,2,"[[2877, 293, 1577, 9551], 1.00007, 120, 4, 'Success']","[[2877, 293, 1577, 9551], 1.00007, 120, 4, 'Success']","[[2877, 137, 12325, 1577, 9551], 1.00002, 164, 5, 'Success']","[[2877, 293, 1577, 9551], 1.00007, 120, 4, 'Success']","[[2877, 293, 1577, 9551], 1.00007, 120, 4, 'Success']","[[2877, 11837, 12325, 1577, 9551], 1.00002, 132, 5, 'Success']"
1236,5636,10,"[[1236, 600, 5955, 5636], 0.03075, 120, 4, 'Success']","[[1236, 645, 48, 5636], 0.031049999999999998, 120, 4, 'Success']","[[1236, 750, 48, 5636], 0.03346, 120, 4, 'Success']","[[1236, 645, 48, 5636], 0.031049999999999998, 120, 4, 'Success']","[[1236, 645, 48, 5636], 0.031049999999999998, 120, 4, 'Success']","[[1236, 600, 2654, 5199, 2740, 5636], 0.00018999999999999998, 200, 6, 'Success']"
26,174,399,"[[26, 87, 174], 0.27959999999999996, 74, 3, 'Success']","[[26, 87, 174], 0.27959999999999996, 74, 3, 'Success']","[[26, 12325, 5899, 174], 0.00439, 212, 4, 'Success']","[[26, 87, 174], 0.27959999999999996, 74, 3, 'Success']","[[26, 87, 174], 0.27959999999999996, 74, 3, 'Success']","[[26, 12325, 175, 174], 0.00399, 86, 4, 'Success']"
18,6487,7839,"[[18, 5949, 6487], 1.00784, 80, 3, 'Failure']","[[18, 5949, 6487], 1.00784, 80, 3, 'Failure']","[[18, 5949, 6487], 1.00784, 80, 3, 'Failure']","[[18, 5949, 6487], 1.00784, 80, 3, 'Failure']","[[18, 5949, 6487], 1.00784, 80, 3, 'Failure']","[[18, 12157, 3372, 5949, 6487], 1.04704, 160, 5, 'Success']"
2584,651,74773,"[[2584, 489, 2, 651], 10.047699999999999, 98, 4, 'Success']","[[2584, 489, 2, 651], 10.047699999999999, 98, 4, 'Success']","[[2584, 167, 8411, 6566, 651], 3.6450299999999998, 144, 5, 'Failure']","[[2584, 489, 2, 651], 10.047699999999999, 98, 4, 'Success']","[[2584, 489, 2, 651], 10.047699999999999, 98, 4, 'Failure']","[[2584, 167, 796, 6566, 651], 3.97207, 160, 5, 'Failure']"
175,12925,834284,"[[175, 2359, 966, 12925], 199.54972999999998, 120, 4, 'Failure']","[[175, 2359, 966, 12925], 199.54972999999998, 120, 4, 'Failure']","[[175, 64, 2359, 966, 12925], 55.14172, 138, 5, 'Failure']","[[175, 2359, 966, 12925], 199.54972999999998, 120, 4, 'Failure']","[[175, 2359, 966, 12925], 199.54972999999998, 120, 4, 'Failure']","[[175, 2359, 966, 12925], 199.54972999999998, 120, 4, 'Failure']"
131,10135,8478159,"[[131, 9869, 3892, 10135], 94.25983, 120, 4, 'Failure']","[[131, 9869, 3892, 10135], 94.25983, 120, 4, 'Failure']","[[131, 137, 12325, 3892, 10135], 9.47816, 164, 5, 'Failure']","[[131, 233, 3892, 10135], 17152.70566, 114, 4, 'Failure']","[[131, 233, 3892, 10135], 17152.70566, 114, 4, 'Failure']","[[131, 233, 3892, 10135], 17152.70566, 114, 4, 'Failure']"
84,5368,3,"[[84, 62, 5256, 5368], 4.75035, 100, 4, 'Success']","[[84, 62, 5256, 5368], 4.75035, 100, 4, 'Success']","[[84, 233, 600, 5256, 5368], 2.51209, 134, 5, 'Success']","[[84, 12325, 600, 5256, 5368], 2.012, 154, 5, 'Success']","[[84, 12325, 600, 5256, 5368], 2.012, 154, 5, 'Success']","[[84, 10113, 12325, 600, 5256, 5368], 2.012, 194, 6, 'Success']"
463,7140,81,"[[463, 21, 7140], 1.04108, 80, 3, 'Success']","[[463, 21, 7140], 1.04108, 80, 3, 'Success']","[[463, 21, 7140], 1.04108, 80, 3, 'Success']","[[463, 21, 7140], 1.04108, 80, 3, 'Success']","[[463, 21, 7140], 1.04108, 80, 3, 'Success']","[[463, 3642, 167, 9515, 21, 7140], 1.04116, 190, 6, 'Success']"
12445,1520,965,"[[12445, 547, 1236, 1520], 2.9337199999999997, 502, 4, 'Success']","[[12445, 6095, 1236, 1520], 3.27249, 122, 4, 'Success']","[[12445, 233, 1104, 1236, 1520], 3.34608, 150, 5, 'Success']","[[12445, 547, 1236, 1520], 2.9337199999999997, 502, 4, 'Success']","[[12445, 547, 1236, 1520], 2.9337199999999997, 502, 4, 'Success']","[[12445, 547, 1236, 1520], 2.9337199999999997, 502, 4, 'Success']"
