Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
2877,4792,5,"[[2877, 2362, 4792], 1.0, 80, 3, 'Success']","[[2877, 2362, 4792], 1.0, 80, 3, 'Success']","[[2877, 233, 4792], 1.00013, 74, 3, 'Success']","[[2877, 2362, 4792], 1.0, 80, 3, 'Success']","[[2877, 2362, 4792], 1.0, 80, 3, 'Success']","[[2877, 2362, 4792], 1.0, 80, 3, 'Success']"
6274,12315,32,"[[6274, 3083, 12315], 0.096, 288, 3, 'Success']","[[6274, 108, 12315], 0.0976, 164, 3, 'Success']","[[6274, 3083, 12315], 0.096, 288, 3, 'Success']","[[6274, 2, 12315], 0.09703, 184, 3, 'Success']","[[6274, 2, 12315], 0.09703, 184, 3, 'Success']","[[6274, 3083, 12315], 0.096, 288, 3, 'Success']"
314,131,364,"[[314, 1659, 131], 0.002, 184, 3, 'Success']","[[314, 1659, 131], 0.002, 184, 3, 'Success']","[[314, 308, 233, 131], 0.00345, 218, 4, 'Success']","[[314, 652, 131], 0.002, 184, 3, 'Success']","[[314, 652, 131], 0.002, 184, 3, 'Success']","[[314, 11837, 137, 131], 0.002, 212, 4, 'Success']"
2877,8768,6390,"[[2877, 10113, 8768], 1.00639, 80, 3, 'Success']","[[2877, 10113, 8768], 1.00639, 80, 3, 'Success']","[[2877, 10113, 8768], 1.00639, 80, 3, 'Success']","[[2877, 2223, 8768], 1.00639, 80, 3, 'Success']","[[2877, 2223, 8768], 1.00639, 80, 3, 'Success']","[[2877, 2223, 8768], 1.00639, 80, 3, 'Success']"
894,182,69010,"[[894, 182], 147.6814, 34, 2, 'Success']","[[894, 182], 147.6814, 34, 2, 'Success']","[[894, 167, 343, 182], 3.5295199999999998, 98, 4, 'Failure']","[[894, 12325, 182], 17.59755, 68, 3, 'Success']","[[894, 12325, 182], 17.59755, 68, 3, 'Success']","[[894, 167, 6722, 12325, 182], 3.4505, 148, 5, 'Success']"
18,10,406245,"[[18, 2559, 10], 1.40624, 80, 3, 'Failure']","[[18, 4834, 10], 2.31249, 58, 3, 'Failure']","[[18, 137, 12325, 10], 1.40624, 228, 4, 'Success']","[[18, 4, 10], 6.4687, 184, 3, 'Success']","[[18, 4, 10], 6.4687, 184, 3, 'Success']","[[18, 137, 12325, 10], 1.40624, 228, 4, 'Success']"
4792,6980,9666917,"[[4792, 398, 6980], 10.66692, 80, 3, 'Failure']","[[4792, 6980], 24167.2925, 40, 2, 'Failure']","[[4792, 398, 6980], 10.66692, 80, 3, 'Failure']","[[4792, 8289, 6980], 1093.3628199999998, 80, 3, 'Failure']","[[4792, 8289, 6980], 1093.3628199999998, 80, 3, 'Failure']","[[4792, 3292, 3642, 167, 796, 6980], 1480.04139, 180, 6, 'Success']"
12445,293,2,"[[12445, 8737, 293], 0.0006900000000000001, 82, 3, 'Success']","[[12445, 8737, 293], 0.0006900000000000001, 82, 3, 'Success']","[[12445, 233, 10485, 293], 0.0006900000000000001, 110, 4, 'Success']","[[12445, 858, 293], 0.0007800000000000001, 82, 3, 'Success']","[[12445, 858, 293], 0.0007800000000000001, 82, 3, 'Success']","[[12445, 547, 1236, 600, 6010, 1559, 12325, 293], 9e-05, 656, 8, 'Success']"
12315,182,15,"[[12315, 12325, 182], 0.015, 178, 3, 'Success']","[[12315, 12325, 182], 0.015, 178, 3, 'Success']","[[12315, 12325, 182], 0.015, 178, 3, 'Success']","[[12315, 12325, 182], 0.015, 178, 3, 'Success']","[[12315, 12325, 182], 0.015, 178, 3, 'Success']","[[12315, 12325, 182], 0.015, 178, 3, 'Success']"
4822,177,326,"[[4822, 19, 177], 0.978, 162, 3, 'Success']","[[4822, 19, 177], 0.978, 162, 3, 'Success']","[[4822, 194, 307, 177], 1.0433999999999999, 224, 4, 'Success']","[[4822, 73, 177], 0.978, 162, 3, 'Success']","[[4822, 73, 177], 0.978, 162, 3, 'Success']","[[4822, 73, 177], 0.978, 162, 3, 'Success']"
26,1139,9600,"[[26, 8688, 1139], 0.587, 74, 3, 'Success']","[[26, 8688, 1139], 0.587, 74, 3, 'Success']","[[26, 12325, 5899, 4682, 1139], 0.2304, 246, 5, 'Success']","[[26, 8688, 1139], 0.587, 74, 3, 'Success']","[[26, 8688, 1139], 0.587, 74, 3, 'Success']","[[26, 12325, 5965, 3297, 6324, 1139], 0.1066, 188, 6, 'Success']"
1983,3083,29645,"[[1983, 8688, 3083], 1.48225, 80, 3, 'Success']","[[1983, 8688, 3083], 1.48225, 80, 3, 'Failure']","[[1983, 8688, 3083], 1.48225, 80, 3, 'Failure']","[[1983, 6184, 3083], 3.61279, 80, 3, 'Success']","[[1983, 6184, 3083], 3.61279, 80, 3, 'Success']","[[1983, 11837, 12325, 5965, 3083], 1.02964, 132, 5, 'Success']"
175,6274,148022,"[[175, 64, 6274], 10.39121, 58, 3, 'Success']","[[175, 64, 6274], 10.39121, 58, 3, 'Success']","[[175, 64, 6274], 10.39121, 58, 3, 'Success']","[[175, 108, 6274], 17.79272, 60, 3, 'Success']","[[175, 108, 6274], 17.79272, 60, 3, 'Success']","[[175, 60, 3065, 6274], 11.63139, 98, 4, 'Success']"
609,148,4374260,"[[609, 2004, 148], 9.748529999999999, 80, 3, 'Failure']","[[609, 2004, 148], 9.748529999999999, 80, 3, 'Failure']","[[609, 19, 1236, 8179, 314, 148], 5.376259999999999, 282, 6, 'Failure']","[[609, 63, 177, 148], 680.28458, 98, 4, 'Success']","[[609, 63, 177, 148], 680.28458, 98, 4, 'Success']","[[609, 63, 177, 148], 680.28458, 98, 4, 'Success']"
91,10,10,"[[91, 2047, 10], 0.10101, 240, 3, 'Success']","[[91, 2047, 10], 0.10101, 240, 3, 'Success']","[[91, 2047, 10], 0.10101, 240, 3, 'Success']","[[91, 2047, 10], 0.10101, 240, 3, 'Success']","[[91, 2047, 10], 0.10101, 240, 3, 'Success']","[[91, 2047, 10], 0.10101, 240, 3, 'Success']"
177,57,77,"[[177, 57], 0.0, 18, 2, 'Success']","[[177, 57], 0.0, 18, 2, 'Success']","[[177, 57], 0.0, 18, 2, 'Success']","[[177, 57], 0.0, 18, 2, 'Success']","[[177, 57], 0.0, 18, 2, 'Success']","[[177, 57], 0.0, 18, 2, 'Success']"
175,207,286,"[[175, 12325, 207], 2.26573, 74, 3, 'Success']","[[175, 167, 207], 2.26602, 70, 3, 'Success']","[[175, 233, 12325, 207], 2.27145, 108, 4, 'Success']","[[175, 12325, 207], 2.26573, 74, 3, 'Success']","[[175, 12325, 207], 2.26573, 74, 3, 'Success']","[[175, 60, 570, 207], 2.26573, 78, 4, 'Success']"
