Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
4770,13114,6,"[[4770, 4030, 3540, 1139, 13114], 1.01865, 160, 5, 'Success']","[[4770, 4030, 3540, 1139, 13114], 1.01865, 160, 5, 'Success']","[[4770, 855, 645, 1139, 13114], 1.0192400000000001, 160, 5, 'Success']","[[4770, 4030, 3540, 1139, 13114], 1.01865, 160, 5, 'Success']","[[4770, 4030, 3540, 1139, 13114], 1.01865, 160, 5, 'Success']","[[4770, 855, 6876, 167, 3642, 36, 1139, 13114], 1.01806, 302, 8, 'Success']"
12834,12550,56,"[[12834, 167, 383, 12550], 1.07103, 110, 4, 'Success']","[[12834, 167, 383, 12550], 1.07103, 110, 4, 'Success']","[[12834, 167, 383, 12550], 1.07103, 110, 4, 'Success']","[[12834, 167, 383, 12550], 1.07103, 110, 4, 'Success']","[[12834, 167, 383, 12550], 1.07103, 110, 4, 'Success']","[[12834, 167, 383, 12550], 1.07103, 110, 4, 'Success']"
12602,2269,705,"[[12602, 67, 175, 63, 2269], 19.31092, 116, 5, 'Success']","[[12602, 67, 175, 63, 2269], 19.31092, 116, 5, 'Success']","[[12602, 67, 175, 63, 2269], 19.31092, 116, 5, 'Success']","[[12602, 67, 175, 63, 2269], 19.31092, 116, 5, 'Success']","[[12602, 67, 175, 63, 2269], 19.31092, 116, 5, 'Success']","[[12602, 67, 175, 63, 2269], 19.31092, 116, 5, 'Success']"
4634,6291,2849,"[[4634, 3083, 6274, 6291], 1.00285, 328, 4, 'Success']","[[4634, 3083, 6274, 6291], 1.00285, 328, 4, 'Success']","[[4634, 3083, 6274, 6291], 1.00285, 328, 4, 'Success']","[[4634, 3083, 6274, 6291], 1.00285, 328, 4, 'Success']","[[4634, 3083, 6274, 6291], 1.00285, 328, 4, 'Success']","[[4634, 3083, 6274, 6291], 1.00285, 328, 4, 'Success']"
4081,6362,56686,"[[4081, 18, 6362], 6.612019999999999, 80, 3, 'Success']","[[4081, 18, 6362], 6.612019999999999, 80, 3, 'Success']","[[4081, 18, 6362], 6.612019999999999, 80, 3, 'Success']","[[4081, 18, 6362], 6.612019999999999, 80, 3, 'Success']","[[4081, 18, 6362], 6.612019999999999, 80, 3, 'Success']","[[4081, 12148, 12325, 3292, 6362], 5.6686, 128, 5, 'Success']"
990,10196,358307,"[[990, 563, 2, 664, 10196], 39.54759, 138, 5, 'Failure']","[[990, 233, 11373, 9809, 664, 10196], 90.99971, 194, 6, 'Failure']","[[990, 233, 131, 8782, 9809, 664, 10196], 82.39631, 234, 7, 'Failure']","[[990, 233, 10113, 9809, 664, 10196], 282.18321000000003, 194, 6, 'Failure']","[[990, 233, 10113, 9809, 664, 10196], 282.18321000000003, 194, 6, 'Failure']","[[990, 233, 131, 10113, 9809, 664, 10196], 116.87632, 234, 7, 'Failure']"
5644,1471,6161986,"[[5644, 2721, 1471], 2613.88033, 80, 3, 'Failure']","[[5644, 1579, 9488, 1471], 1450.07521, 120, 4, 'Failure']","[[5644, 6722, 167, 1471], 876.0028799999999, 110, 4, 'Failure']","[[5644, 3742, 142, 1471], 3545.25484, 114, 4, 'Failure']","[[5644, 3742, 142, 1471], 3545.25484, 114, 4, 'Failure']","[[5644, 3292, 3642, 167, 57, 321, 9488, 1471], 2328.56072, 250, 8, 'Failure']"
2173,2650,10730241,"[[2173, 167, 2650], 1405.66296, 70, 3, 'Failure']","[[2173, 3086, 167, 2650], 1813.4545899999998, 104, 4, 'Failure']","[[2173, 167, 2650], 1405.66296, 70, 3, 'Failure']","[[2173, 4784, 3642, 167, 2650], 22017.06379, 254, 5, 'Failure']","[[2173, 4784, 3642, 167, 2650], 22017.06379, 254, 5, 'Failure']","[[2173, 4784, 3642, 167, 2650], 22017.06379, 254, 5, 'Failure']"
10160,309,5,"[[10160, 29, 36, 309], 1.0002600000000001, 152, 4, 'Success']","[[10160, 29, 36, 309], 1.0002600000000001, 152, 4, 'Success']","[[10160, 29, 36, 309], 1.0002600000000001, 152, 4, 'Success']","[[10160, 29, 36, 309], 1.0002600000000001, 152, 4, 'Success']","[[10160, 29, 36, 309], 1.0002600000000001, 152, 4, 'Success']","[[10160, 29, 12325, 36, 309], 1.0002600000000001, 186, 5, 'Success']"
10056,9719,92,"[[10056, 609, 3549, 2651, 9719], 1.02068, 160, 5, 'Success']","[[10056, 609, 3549, 2651, 9719], 1.02068, 160, 5, 'Success']","[[10056, 32, 137, 2651, 9719], 2.1904100000000004, 274, 5, 'Success']","[[10056, 609, 3549, 2651, 9719], 1.02068, 160, 5, 'Success']","[[10056, 609, 3549, 2651, 9719], 1.02068, 160, 5, 'Success']","[[10056, 11178, 11317, 12325, 9658, 2651, 9719], 1.02059, 234, 7, 'Success']"
1885,3235,972,"[[1885, 1672, 2359, 5965, 2508, 3235], 3.06032, 194, 6, 'Success']","[[1885, 1672, 2359, 5965, 2508, 3235], 3.06032, 194, 6, 'Success']","[[1885, 1672, 2359, 5965, 2508, 3235], 3.06032, 194, 6, 'Success']","[[1885, 1672, 2359, 5965, 2508, 3235], 3.06032, 194, 6, 'Success']","[[1885, 1672, 2359, 5965, 2508, 3235], 3.06032, 194, 6, 'Success']","[[1885, 1672, 2359, 5052, 12325, 2508, 3235], 3.01654, 228, 7, 'Success']"
2319,6114,7705,"[[2319, 32, 5988, 6114], 6.08534, 224, 4, 'Success']","[[2319, 207, 167, 6425, 5988, 6114], 3.5030300000000003, 184, 6, 'Success']","[[2319, 32, 5988, 6114], 6.08534, 224, 4, 'Success']","[[2319, 32, 5988, 6114], 6.08534, 224, 4, 'Success']","[[2319, 32, 5988, 6114], 6.08534, 224, 4, 'Success']","[[2319, 855, 6876, 167, 6425, 5988, 6114], 3.98944, 224, 7, 'Success']"
7893,10937,10441,"[[7893, 7218, 10294, 10937], 0.0, 328, 4, 'Success']","[[7893, 7218, 10294, 10937], 0.0, 328, 4, 'Success']","[[7893, 7218, 10294, 10937], 0.0, 328, 4, 'Success']","[[7893, 7218, 10294, 10937], 0.0, 328, 4, 'Success']","[[7893, 7218, 10294, 10937], 0.0, 328, 4, 'Failure']","[[7893, 7218, 10294, 10937], 0.0, 328, 4, 'Failure']"
2615,5766,330961,"[[2615, 2877, 5766], 2.66192, 80, 3, 'Success']","[[2615, 2877, 5766], 2.66192, 80, 3, 'Failure']","[[2615, 2877, 5766], 2.66192, 80, 3, 'Failure']","[[2615, 207, 3784, 5766], 105.01583, 120, 4, 'Failure']","[[2615, 207, 3784, 5766], 105.01583, 120, 4, 'Failure']","[[2615, 2877, 137, 12325, 3292, 489, 45, 5766], 10.28406, 264, 8, 'Success']"
