Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
10511,4810,1,"[[10511, 10512, 5961, 10489, 21, 4810], 5.00151, 200, 6, 'Success']","[[10511, 10512, 5961, 12325, 167, 2742, 4810], 4.0009999999999994, 224, 7, 'Success']","[[10511, 10512, 5961, 2433, 21, 4810], 5.002509999999999, 194, 6, 'Success']","[[10511, 10512, 5961, 10489, 21, 4810], 5.00151, 200, 6, 'Success']","[[10511, 10512, 5961, 10489, 21, 4810], 5.00151, 200, 6, 'Success']","[[10511, 10512, 5961, 12325, 167, 9515, 21, 4810], 4.0009999999999994, 264, 8, 'Success']"
12918,7431,23,"[[12918, 2924, 2537, 3083, 7431], 0.00767, 264, 5, 'Success']","[[12918, 2924, 2537, 3083, 7431], 0.00767, 264, 5, 'Success']","[[12918, 2924, 233, 4682, 3083, 7431], 0.014309999999999998, 292, 6, 'Success']","[[12918, 2924, 2537, 3083, 7431], 0.00767, 264, 5, 'Success']","[[12918, 2924, 2537, 3083, 7431], 0.00767, 264, 5, 'Success']","[[12918, 2924, 12325, 5965, 3083, 7431], 0.00394, 298, 6, 'Success']"
12804,4674,566,"[[12804, 12805, 12479, 3119, 12315, 3083, 4674], 4.56828, 448, 7, 'Success']","[[12804, 12805, 12479, 3119, 12315, 3083, 4674], 4.56828, 448, 7, 'Success']","[[12804, 12805, 12479, 3119, 463, 194, 3083, 4674], 4.3419099999999995, 384, 8, 'Success']","[[12804, 12805, 12479, 3119, 12315, 3083, 4674], 4.56828, 448, 7, 'Success']","[[12804, 12805, 12479, 3119, 12315, 3083, 4674], 4.56828, 448, 7, 'Success']","[[12804, 12805, 12479, 3119, 600, 6010, 1559, 12325, 5965, 3083, 4674], 4.003979999999999, 498, 11, 'Success']"
9347,6017,9622,"[[9347, 10, 645, 609, 6017], 3.02955, 160, 5, 'Success']","[[9347, 10, 645, 609, 6017], 3.02955, 160, 5, 'Success']","[[9347, 10, 645, 609, 6017], 3.02955, 160, 5, 'Success']","[[9347, 10, 645, 609, 6017], 3.02955, 160, 5, 'Failure']","[[9347, 10, 645, 609, 6017], 3.02955, 160, 5, 'Failure']","[[9347, 10, 645, 609, 6017], 3.02955, 160, 5, 'Failure']"
5020,10810,31562,,,,,,
11716,12973,138809,"[[11716, 11492, 12325, 12315, 12973], 146.89534, 258, 5, 'Success']","[[11716, 11492, 12325, 1864, 574, 12973], 9.912220000000001, 194, 6, 'Success']","[[11716, 11492, 12325, 1864, 574, 12973], 9.912220000000001, 194, 6, 'Success']","[[11716, 11492, 293, 575, 574, 12973], 10.634640000000001, 200, 6, 'Success']","[[11716, 11492, 293, 575, 574, 12973], 10.634640000000001, 200, 6, 'Success']","[[11716, 11492, 293, 575, 574, 12973], 10.634640000000001, 200, 6, 'Success']"
3765,3446,4041797,"[[3765, 172, 2, 32, 3446], 2247.5605600000004, 242, 5, 'Failure']","[[3765, 172, 53, 32, 3446], 2247.5605600000004, 242, 5, 'Failure']","[[3765, 172, 53, 32, 3446], 2247.5605600000004, 242, 5, 'Failure']","[[3765, 172, 321, 32, 3446], 2926.58561, 264, 5, 'Failure']","[[3765, 172, 321, 32, 3446], 2926.58561, 264, 5, 'Failure']","[[3765, 172, 173, 71, 32, 3446], 2247.5605600000004, 260, 6, 'Failure']"
12773,3473,11325744,"[[12773, 21, 2399, 3473], 36.97727, 120, 4, 'Failure']","[[12773, 60, 177, 57, 3473], 637.49229, 116, 5, 'Failure']","[[12773, 21, 2399, 3473], 36.97727, 120, 4, 'Failure']","[[12773, 60, 321, 57, 3473], 1275.02028, 160, 5, 'Failure']","[[12773, 60, 321, 57, 3473], 1275.02028, 160, 5, 'Failure']","[[12773, 60, 177, 57, 3473], 637.49229, 116, 5, 'Failure']"
4853,12355,2,"[[4853, 207, 124, 609, 12355], 0.9997, 160, 5, 'Success']","[[4853, 207, 124, 609, 12355], 0.9997, 160, 5, 'Success']","[[4853, 21, 24, 609, 12355], 1.9992, 258, 5, 'Success']","[[4853, 207, 124, 609, 12355], 0.9997, 160, 5, 'Success']","[[4853, 207, 124, 609, 12355], 0.9997, 160, 5, 'Success']","[[4853, 207, 1566, 1573, 12325, 4438, 609, 12355], 0.99924, 264, 8, 'Success']"
5893,7806,72,"[[5893, 609, 2223, 7218, 7806], 1.00014, 264, 5, 'Success']","[[5893, 8688, 2, 7218, 7806], 1.00043, 242, 5, 'Success']","[[5893, 609, 6184, 7218, 7806], 1.5076800000000001, 264, 5, 'Success']","[[5893, 609, 2223, 7218, 7806], 1.00014, 264, 5, 'Success']","[[5893, 609, 2223, 7218, 7806], 1.00014, 264, 5, 'Success']","[[5893, 609, 2223, 7218, 7806], 1.00014, 264, 5, 'Success']"
