Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
825,6557,1,"[[825, 801, 2294, 12325, 6557], 0.00315, 154, 5, 'Success']","[[825, 801, 2294, 12325, 6557], 0.00315, 154, 5, 'Success']","[[825, 801, 124, 12325, 6557], 0.0032300000000000002, 154, 5, 'Success']","[[825, 801, 2294, 12325, 6557], 0.00315, 154, 5, 'Success']","[[825, 801, 2294, 12325, 6557], 0.00315, 154, 5, 'Success']","[[825, 801, 2680, 600, 6010, 1559, 12325, 6557], 0.0, 274, 8, 'Success']"
4419,8168,100,"[[4419, 609, 858, 8168], 1.0052, 120, 4, 'Success']","[[4419, 609, 858, 8168], 1.0052, 120, 4, 'Success']","[[4419, 609, 10113, 8168], 1.0201, 120, 4, 'Success']","[[4419, 609, 858, 8168], 1.0052, 120, 4, 'Success']","[[4419, 609, 858, 8168], 1.0052, 120, 4, 'Success']","[[4419, 609, 19, 215, 137, 12325, 6760, 8168], 1.0003, 262, 8, 'Success']"
11125,8587,521,"[[11125, 11057, 11177, 48, 8587], 1.61578, 264, 5, 'Success']","[[11125, 11057, 11177, 48, 8587], 1.61578, 264, 5, 'Success']","[[11125, 11057, 124, 233, 8587], 1.70828, 258, 5, 'Success']","[[11125, 11057, 124, 12325, 8587], 1.6831900000000002, 258, 5, 'Success']","[[11125, 11057, 124, 12325, 8587], 1.6831900000000002, 258, 5, 'Success']","[[11125, 11057, 3642, 167, 4338, 8587], 1.56352, 294, 6, 'Success']"
5550,8649,4763,"[[5550, 855, 149, 8649], 1.96312, 224, 4, 'Success']","[[5550, 855, 6876, 167, 8649], 1.0381, 150, 5, 'Success']","[[5550, 32, 167, 8649], 4.38627, 214, 4, 'Success']","[[5550, 855, 149, 8649], 1.96312, 224, 4, 'Success']","[[5550, 855, 149, 8649], 1.96312, 224, 4, 'Success']","[[5550, 855, 6876, 167, 8649], 1.0381, 150, 5, 'Success']"
8990,10021,15439,"[[8990, 8768, 8688, 10021], 47.6962, 224, 4, 'Failure']","[[8990, 8768, 5773, 167, 8688, 10021], 47.82747, 294, 6, 'Failure']","[[8990, 8768, 8688, 10021], 47.6962, 224, 4, 'Failure']","[[8990, 8768, 8688, 10021], 47.6962, 224, 4, 'Failure']","[[8990, 8768, 8688, 10021], 47.6962, 224, 4, 'Failure']","[[8990, 8768, 5773, 12148, 12325, 4482, 149, 8688, 10021], 47.84396, 516, 9, 'Failure']"
11656,3393,295006,"[[11656, 7985, 12325, 3405, 3393], 8.10513, 154, 5, 'Success']","[[11656, 7985, 12325, 3405, 3393], 8.10513, 154, 5, 'Success']","[[11656, 7985, 12325, 3405, 3393], 8.10513, 154, 5, 'Success']","[[11656, 7985, 12325, 3405, 3393], 8.10513, 154, 5, 'Success']","[[11656, 7985, 12325, 3405, 3393], 8.10513, 154, 5, 'Failure']","[[11656, 7985, 12325, 612, 11837, 6910, 3393], 3.88503, 234, 7, 'Failure']"
1408,2053,1111867,"[[1408, 167, 12086, 2053], 133.60422, 104, 4, 'Failure']","[[1408, 167, 11837, 18, 2053], 116.52273000000001, 138, 5, 'Failure']","[[1408, 167, 796, 18, 2053], 117.63472, 160, 5, 'Success']","[[1408, 167, 321, 2053], 225.60869000000002, 214, 4, 'Success']","[[1408, 167, 321, 2053], 225.60869000000002, 214, 4, 'Success']","[[1408, 167, 796, 18, 2053], 117.63472, 160, 5, 'Success']"
2176,2537,15240557,"[[2176, 2177, 321, 2537], 1557.5398799999998, 224, 4, 'Failure']","[[2176, 2177, 321, 2189, 2537], 506.93980999999997, 160, 5, 'Failure']","[[2176, 2177, 321, 6722, 2537], 48.721720000000005, 160, 5, 'Failure']","[[2176, 2177, 321, 2189, 2537], 506.93980999999997, 160, 5, 'Failure']","[[2176, 2177, 321, 2189, 2537], 506.93980999999997, 160, 5, 'Failure']","[[2176, 2177, 321, 445, 3292, 2537], 385.01530999999994, 180, 6, 'Failure']"
8292,8471,8,"[[8292, 32, 4682, 8471], 1.00482, 218, 4, 'Success']","[[8292, 3896, 4749, 855, 8471], 0.00217, 160, 5, 'Success']","[[8292, 32, 4682, 8471], 1.00482, 218, 4, 'Success']","[[8292, 32, 4682, 8471], 1.00482, 218, 4, 'Success']","[[8292, 32, 4682, 8471], 1.00482, 218, 4, 'Success']","[[8292, 3896, 4816, 2362, 4792, 167, 4682, 8471], 0.0008100000000000002, 264, 8, 'Success']"
6803,12383,37,"[[6803, 2584, 167, 12383], 2.00421, 110, 4, 'Success']","[[6803, 2584, 167, 12383], 2.00421, 110, 4, 'Success']","[[6803, 2584, 167, 12383], 2.00421, 110, 4, 'Success']","[[6803, 2584, 167, 12383], 2.00421, 110, 4, 'Success']","[[6803, 2584, 167, 12383], 2.00421, 110, 4, 'Success']","[[6803, 2584, 167, 12383], 2.00421, 110, 4, 'Success']"
