Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
9549,7309,10,"[[9549, 36, 6274, 7309], 1.00001, 256, 4, 'Success']","[[9549, 36, 6274, 7309], 1.00001, 256, 4, 'Success']","[[9549, 36, 6274, 7309], 1.00001, 256, 4, 'Success']","[[9549, 36, 6274, 7309], 1.00001, 256, 4, 'Success']","[[9549, 36, 6274, 7309], 1.00001, 256, 4, 'Success']","[[9549, 855, 6876, 167, 2223, 6274, 7309], 1.00008, 334, 7, 'Success']"
9917,336,96,"[[9917, 9698, 21, 336], 1.0098, 120, 4, 'Success']","[[9917, 9698, 21, 336], 1.0098, 120, 4, 'Success']","[[9917, 9698, 21, 336], 1.0098, 120, 4, 'Success']","[[9917, 9698, 21, 336], 1.0098, 120, 4, 'Success']","[[9917, 9698, 21, 336], 1.0098, 120, 4, 'Success']","[[9917, 9698, 21, 336], 1.0098, 120, 4, 'Success']"
11629,12947,191,"[[11629, 2290, 12445, 12947], 2.91, 122, 4, 'Success']","[[11629, 2290, 12445, 12947], 2.91, 122, 4, 'Success']","[[11629, 2290, 12445, 12947], 2.91, 122, 4, 'Success']","[[11629, 2290, 12445, 12947], 2.91, 122, 4, 'Success']","[[11629, 2290, 12445, 12947], 2.91, 122, 4, 'Success']","[[11629, 2290, 12445, 12947], 2.91, 122, 4, 'Success']"
2600,3406,1765,"[[2600, 2351, 1367, 317, 3406], 1.01942, 160, 5, 'Success']","[[2600, 167, 9596, 317, 3406], 1.02119, 150, 5, 'Success']","[[2600, 233, 2778, 317, 3406], 1.37021, 154, 5, 'Success']","[[2600, 167, 2938, 317, 3406], 1.03002, 150, 5, 'Success']","[[2600, 167, 2938, 317, 3406], 1.03002, 150, 5, 'Success']","[[2600, 167, 2938, 317, 3406], 1.03002, 150, 5, 'Success']"
2592,9185,22381,"[[2592, 2821, 2223, 8768, 9185], 7.11789, 264, 5, 'Failure']","[[2592, 2821, 2223, 8768, 9185], 7.11789, 264, 5, 'Failure']","[[2592, 2821, 2223, 8768, 9185], 7.11789, 264, 5, 'Failure']","[[2592, 2821, 2223, 8768, 9185], 7.11789, 264, 5, 'Failure']","[[2592, 2821, 2223, 8768, 9185], 7.11789, 264, 5, 'Failure']","[[2592, 2889, 855, 6876, 167, 2223, 8768, 9185], 6.3639, 374, 8, 'Failure']"
2169,9780,269491,"[[2169, 2938, 609, 9780], 108.17417, 119, 4, 'Failure']","[[2169, 2359, 609, 9780], 109.98326, 104, 4, 'Failure']","[[2169, 2359, 609, 9780], 109.98326, 104, 4, 'Failure']","[[2169, 2359, 609, 9780], 109.98326, 104, 4, 'Failure']","[[2169, 2359, 609, 9780], 109.98326, 104, 4, 'Failure']","[[2169, 321, 6184, 609, 9780], 218.56144, 144, 5, 'Failure']"
364,2789,2007400,"[[364, 6781, 91, 2789], 6026.7158, 270, 4, 'Failure']","[[364, 321, 91, 2789], 4331.77901, 270, 4, 'Failure']","[[364, 321, 91, 2789], 4331.77901, 270, 4, 'Failure']","[[364, 8230, 91, 2789], 2319.35973, 270, 4, 'Failure']","[[364, 8230, 91, 2789], 2319.35973, 270, 4, 'Failure']","[[364, 52, 175, 91, 2789], 3125.42776, 288, 5, 'Success']"
177,9779,28264859,"[[177, 3784, 6064, 9779], 6227.66907, 120, 4, 'Failure']","[[177, 321, 6059, 9779], 1586.08371, 120, 4, 'Failure']","[[177, 321, 6059, 9779], 1586.08371, 120, 4, 'Success']","[[177, 71, 32, 9779], 15662.75767, 202, 4, 'Failure']","[[177, 71, 32, 9779], 15662.75767, 202, 4, 'Failure']","[[177, 321, 6059, 9779], 1586.08371, 120, 4, 'Failure']"
12212,1499,2,"[[12212, 2537, 1236, 1499], 0.006350000000000001, 114, 4, 'Success']","[[12212, 2537, 1236, 1499], 0.006350000000000001, 114, 4, 'Success']","[[12212, 233, 1104, 1236, 1499], 0.00635, 142, 5, 'Success']","[[12212, 2537, 1236, 1499], 0.006350000000000001, 114, 4, 'Success']","[[12212, 2537, 1236, 1499], 0.006350000000000001, 114, 4, 'Success']","[[12212, 12325, 3974, 1236, 1499], 0.00619, 148, 5, 'Success']"
3883,4885,77,"[[3883, 6232, 4822, 4885], 102.0, 224, 4, 'Success']","[[3883, 9832, 2537, 4822, 4885], 1.00693, 264, 5, 'Success']","[[3883, 207, 294, 4822, 4885], 2.0362299999999998, 264, 5, 'Success']","[[3883, 9832, 2537, 4822, 4885], 1.00693, 264, 5, 'Success']","[[3883, 9832, 2537, 4822, 4885], 1.00693, 264, 5, 'Success']","[[3883, 167, 2223, 4822, 4885], 200.00008, 254, 5, 'Success']"
9814,386,832,"[[9814, 10065, 32, 386], 2.24942, 218, 4, 'Success']","[[9814, 10065, 32, 386], 2.24942, 218, 4, 'Success']","[[9814, 855, 32, 386], 2.66571, 218, 4, 'Success']","[[9814, 10065, 32, 386], 2.24942, 218, 4, 'Success']","[[9814, 10065, 32, 386], 2.24942, 218, 4, 'Success']","[[9814, 10065, 12325, 10159, 150, 386], 1.8388400000000003, 188, 6, 'Success']"
2295,4055,4288,"[[2295, 182, 3083, 4055], 2.00858, 224, 4, 'Success']","[[2295, 182, 3083, 4055], 2.00858, 224, 4, 'Success']","[[2295, 182, 3083, 4055], 2.00858, 224, 4, 'Success']","[[2295, 182, 3083, 4055], 2.00858, 224, 4, 'Failure']","[[2295, 182, 3083, 4055], 2.00858, 224, 4, 'Failure']","[[2295, 1559, 12325, 5965, 3083, 4055], 0.3901, 298, 6, 'Failure']"
