Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
4043,3281,9,"[[4043, 609, 3281], 0.00199, 80, 3, 'Success']","[[4043, 609, 3281], 0.00199, 80, 3, 'Success']","[[4043, 609, 3281], 0.00199, 80, 3, 'Success']","[[4043, 609, 3281], 0.00199, 80, 3, 'Success']","[[4043, 609, 3281], 0.00199, 80, 3, 'Success']","[[4043, 609, 19, 215, 137, 12325, 167, 3281], 0.0011200000000000001, 262, 8, 'Success']"
3290,11336,52,"[[3290, 1139, 3905, 11336], 0.00339, 120, 4, 'Success']","[[3290, 1139, 3905, 11336], 0.00339, 120, 4, 'Success']","[[3290, 1139, 233, 11336], 0.15950999999999999, 114, 4, 'Success']","[[3290, 1139, 3905, 11336], 0.00339, 120, 4, 'Success']","[[3290, 1139, 3905, 11336], 0.00339, 120, 4, 'Success']","[[3290, 1574, 600, 6010, 1559, 12325, 167, 11336], 0.0038599999999999997, 264, 8, 'Success']"
3099,5799,915,"[[3099, 855, 916, 5799], 0.36695, 120, 4, 'Success']","[[3099, 855, 916, 5799], 0.36695, 120, 4, 'Success']","[[3099, 3086, 5826, 5799], 0.81352, 114, 4, 'Success']","[[3099, 855, 916, 5799], 0.36695, 120, 4, 'Success']","[[3099, 855, 916, 5799], 0.36695, 120, 4, 'Success']","[[3099, 12325, 3974, 916, 5799], 0.00091, 154, 5, 'Success']"
10034,6117,8408,"[[10034, 855, 6117], 2.69001, 80, 3, 'Success']","[[10034, 855, 6117], 2.69001, 80, 3, 'Success']","[[10034, 855, 6117], 2.69001, 80, 3, 'Success']","[[10034, 855, 6117], 2.69001, 80, 3, 'Success']","[[10034, 855, 6117], 2.69001, 80, 3, 'Success']","[[10034, 667, 12325, 10113, 12768, 11207, 7011, 6117], 1.85762, 378, 8, 'Success']"
892,10300,75297,"[[892, 1139, 3021, 10300], 226.96652, 120, 4, 'Failure']","[[892, 1139, 1340, 2358, 11718, 10300], 3.4518, 200, 6, 'Failure']","[[892, 1139, 1340, 2358, 11718, 10300], 3.4518, 200, 6, 'Failure']","[[892, 1139, 3021, 10300], 226.96652, 120, 4, 'Failure']","[[892, 1139, 3021, 10300], 226.96652, 120, 4, 'Failure']","[[892, 1139, 1340, 2358, 11718, 10300], 3.4518, 200, 6, 'Failure']"
456,2297,564919,"[[456, 84, 1875, 2297], 16.12305, 120, 4, 'Success']","[[456, 84, 1875, 2297], 16.12305, 120, 4, 'Success']","[[456, 84, 1875, 2297], 16.12305, 120, 4, 'Success']","[[456, 84, 1875, 2297], 16.12305, 120, 4, 'Failure']","[[456, 84, 1875, 2297], 16.12305, 120, 4, 'Failure']","[[456, 84, 1875, 2297], 16.12305, 120, 4, 'Failure']"
3437,1579,1475167,"[[3437, 320, 2537, 1579], 49.20542999999999, 120, 4, 'Failure']","[[3437, 1865, 398, 351, 1579], 77.23554, 154, 5, 'Failure']","[[3437, 1865, 150, 18, 6184, 1579], 16.777549999999998, 200, 6, 'Failure']","[[3437, 1865, 351, 1579], 768.10261, 114, 4, 'Failure']","[[3437, 1865, 351, 1579], 768.10261, 114, 4, 'Failure']","[[3437, 1865, 529, 2909, 6980, 6184, 1579], 88.06233, 254, 7, 'Failure']"
893,4784,36317267,"[[893, 3134, 4784], 14565.23859, 80, 3, 'Failure']","[[893, 445, 3134, 4784], 14602.57042, 120, 4, 'Failure']","[[893, 445, 321, 12686, 4784], 149.26929, 160, 5, 'Failure']","[[893, 445, 3134, 4784], 14602.57042, 120, 4, 'Failure']","[[893, 445, 3134, 4784], 14602.57042, 120, 4, 'Failure']","[[893, 445, 3134, 4784], 14602.57042, 120, 4, 'Failure']"
5753,460,5,"[[5753, 6020, 3892, 460], 0.00113, 98, 4, 'Success']","[[5753, 6020, 3892, 460], 0.00113, 98, 4, 'Success']","[[5753, 6020, 3892, 460], 0.00113, 98, 4, 'Success']","[[5753, 6020, 3892, 460], 0.00113, 98, 4, 'Success']","[[5753, 6020, 3892, 460], 0.00113, 98, 4, 'Success']","[[5753, 6020, 609, 19, 215, 137, 12325, 167, 11840, 460], 0.00062, 310, 10, 'Success']"
4288,5938,61,"[[4288, 32, 5938], 2.0305, 184, 3, 'Success']","[[4288, 6689, 48, 5938], 1.00921, 120, 4, 'Success']","[[4288, 32, 5938], 2.0305, 184, 3, 'Success']","[[4288, 6689, 48, 5938], 1.00921, 120, 4, 'Success']","[[4288, 6689, 48, 5938], 1.00921, 120, 4, 'Success']","[[4288, 6689, 3623, 3769, 167, 2562, 4994, 5938], 1.00183, 254, 8, 'Success']"
