,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3,Amount,Actual Amount
0,97.86053883,97.93977813,97.78129952,97.46434231,97.54358162,97.54358162,97.86053883,100,1262
1,96.93301049,96.85230024,96.85230024,97.17514124,96.61016949,96.52945924,96.85230024,100,1239
2,96.39711769,96.5572458,95.99679744,95.99679744,95.51641313,94.87590072,95.11609287,100,1249
3,87.52,83.44,75.52,80,72.8,69.2,68.96,100,1250
4,62.32,64.88,53.12,59.92,50.8,46.56,50.24,100,1250
5,32.24,47.12,28.64,32.24,30,24.24,30.96,100,1250
6,10.96,33.2,14.72,12.88,16.48,11.12,17.84,100,1250
7,4.16,23.12,11.2,5.44,8.48,5.92,8.48,100,1250
,61.04883338,67.88866552,59.22879965,60.13953512,58.52877053,55.7486177,58.28861649,,
6+7,7.56,28.16,12.96,9.16,12.48,8.52,13.16,100,1250
4+5,47.28,56,40.88,46.08,40.4,35.4,40.6,100,1250
0+1+2+3,94.67766675,93.69733104,91.5375993,92.65907025,90.61754106,89.53723539,89.69723299,100,1250
