,amount,LNDfee,LNDdly,LNDpthlnt,LNDtp,CLNfee,CLNdly,CLNpthlnt,CLNtp,LDKfee,LDKdly,LDKpthlnt,LDKtp,Eclair_case1fee,Eclair_case1dly,Eclair_case1pthlnt,Eclair_case1tp,Eclair_case2fee,Eclair_case2dly,Eclair_case2pthlnt,Eclair_case2tp,Eclair_case3fee,Eclair_case3dly,Eclair_case3pthlnt,Eclair_case3tp
0,15858,14.72341,242,5,Success,14.72341,242,5,Success,14.76414,264,5,Success,14.73828,264,5,Success,14.73828,264,5,Success,14.81761,294,6,Success
2,243449,74.28309,120,4,Failure,74.28309,120,4,Failure,3.6287000000000003,448,7,Failure,74.28309,120,4,Failure,74.28309,120,4,Failure,18.094019999999997,240,7,Success
3,6598,0.37609000000000004,224,4,Failure,0.37609000000000004,224,4,Failure,0.37609000000000004,224,4,Failure,0.37609000000000004,224,4,Failure,0.37609000000000004,224,4,Failure,0.0132,334,7,Failure
4,226552,5.984170000000001,114,4,Success,5.984170000000001,114,4,Success,5.984170000000001,114,4,Success,15.93693,98,4,Success,15.93693,98,4,Success,15.93693,98,4,Success
5,23796,27.2028,120,4,Failure,27.2028,120,4,Failure,3.80797,292,6,Failure,3.4034,154,5,Failure,3.4034,154,5,Failure,3.4034,154,5,Failure
6,24028,1.02403,202,4,Failure,1.02403,202,4,Failure,1.18906,236,5,Success,2.04806,224,4,Failure,2.04806,224,4,Failure,1.27715,466,8,Failure
7,20586,0.02059,254,5,Success,0.02059,254,5,Failure,0.02059,254,5,Failure,0.02059,254,5,Failure,0.02059,254,5,Failure,0.02059,254,5,Failure
8,24351,7.943279999999999,160,5,Failure,8.45593,160,5,Failure,7.067629999999999,194,6,Failure,9.136759999999999,160,5,Failure,9.136759999999999,160,5,Failure,7.067629999999999,194,6,Failure
9,33533,12.597190000000001,142,5,Failure,12.597190000000001,142,5,Failure,6.35645,176,6,Failure,12.597190000000001,142,5,Failure,12.597190000000001,142,5,Failure,5.1857,178,7,Failure
10,1621,4.34726,304,6,Success,4.34726,304,6,Success,4.3764400000000006,332,7,Success,4.34726,304,6,Success,4.34726,304,6,Success,4.34402,300,7,Success
11,298,1.8973,224,4,Success,1.8973,224,4,Success,1.8973,224,4,Success,1.8973,224,4,Success,1.8973,224,4,Success,0.90894,532,9,Success
12,106936,3.28324,114,4,Failure,3.28324,114,4,Failure,2.65362,264,5,Failure,2.4297500000000003,242,5,Success,2.4297500000000003,242,5,Success,2.4297500000000003,242,5,Failure
13,48070,21.228,224,4,Failure,21.228,224,4,Failure,21.228,224,4,Failure,50.513540000000006,224,4,Failure,50.513540000000006,224,4,Failure,22.27649,338,7,Failure
14,4657,3.5107999999999997,242,5,Success,3.5107999999999997,242,5,Failure,1.67748,496,6,Failure,3.5107999999999997,242,5,Failure,3.5107999999999997,242,5,Failure,1.5796800000000002,494,7,Failure
15,894748,392.17661999999996,121,5,Failure,3582.79666,120,4,Failure,326.99996000000004,181,6,Failure,637.39058,141,5,Failure,637.39058,141,5,Failure,376.56933,217,8,Failure
16,364816,25.4094,160,5,Failure,840.81457,110,4,Success,4.91855,194,6,Success,7.242649999999999,200,6,Success,7.242649999999999,200,6,Success,7.242649999999999,200,6,Failure
17,60877,3.18264,120,4,Failure,3.18264,120,4,Failure,3.18264,120,4,Failure,4.18264,160,5,Success,4.18264,160,5,Success,3.24452,200,6,Success
18,2726549,549.0371,80,3,Failure,549.0371,80,3,Failure,549.0371,80,3,Failure,548.0369,110,4,Success,548.0369,110,4,Success,548.0369,110,4,Success
19,134486,2.26898,160,5,Failure,2.26898,160,5,Failure,2.0759,222,7,Failure,2.26898,160,5,Failure,2.26898,160,5,Failure,2.26898,160,5,Failure
20,38073,154.98268,382,6,Failure,1200.5897599999998,274,4,Failure,121.09249999999999,432,7,Failure,155.17381,350,6,Failure,155.17381,350,6,Failure,121.13168999999999,514,10,Failure
21,4148233,272.88745,74,3,Failure,272.88745,74,3,Failure,52.7789,198,6,Failure,278.03602,132,5,Failure,278.03602,132,5,Failure,278.03602,132,5,Failure
22,17249,2.0345,264,5,Success,2.0345,264,5,Failure,2.2069900000000002,276,6,Failure,2.6207399999999996,264,5,Failure,2.6207399999999996,264,5,Failure,1.138,334,7,Failure
23,6428,20.60941,298,6,Success,20.60941,298,6,Success,20.60941,298,6,Success,20.60941,298,6,Success,20.60941,298,6,Success,20.60941,382,8,Success
24,16066,2.04921,264,5,Success,2.04921,264,5,Failure,3.16211,298,6,Failure,2.04921,264,5,Failure,2.04921,264,5,Failure,1.53119,420,10,Failure
25,36598,112.59387000000001,160,5,Failure,112.59387000000001,160,5,Failure,2.98631,194,6,Failure,2.84177,200,6,Failure,2.84177,200,6,Failure,1.8783599999999998,234,7,Failure
26,25072,5.80424,160,5,Failure,5.9048300000000005,132,5,Failure,5.84525,154,5,Failure,6.02992,160,5,Failure,6.02992,160,5,Failure,5.67917,196,7,Failure
